,Article Class,Article Titles,List of Article Author Names
28,Pediatric Imaging,ComparisonofQuantitativeLiverUSandMRIinPatientswithLiverDiseaseusgipdmr,"Vinicius P. V. Alves, Jonathan R. Dillman, Jean A. Tkach, Paula S. Bennett, Stavra A. Xanthakos, Andrew T. Trout"
29,Editorial,QuantitativeUSversusQuantitativeMRIintheAssessmentofPediatricChronicLiverDiseaseusgipdmr,"Geetika Khanna, Adina L. Alazraki"
30,Thoracic Imaging,EmphysemaProgressionatCTbyDeepLearningPredictsFunctionalImpairmentandMortality:ResultsfromtheCOPDGeneStudyctchai,"Andrea S. Oh, David Baraghoshi, David A. Lynch, Samuel Y. Ash, James D. Crapo, Stephen M. Humphries, for the COPDGene Investigators"
31,Editorial,DeepLearningAssessmentofEmphysemaProgressionatCTPredictsOutcomesctchai,Philippe A. Grenier
32,Thoracic Imaging,ArtificialIntelligenceToolforAssessmentofIndeterminatePulmonaryNodulesDetectedwithCTchai,"Roger Y. Kim, Jason L. Oke, Lyndsey C. Pickup, Reginald F. Munden, Travis L. Dotson, Christina R. Bellinger, Avi Cohen, Michael J. Simoff, Pierre P. Massion, Claire Filippini, Fergus V. Gleeson, Anil Vachani"
33,Editorial,ArtificialIntelligenceImprovesRadiologistPerformanceforPredictingMalignancyatChestCTchai,Masahiro Yanagawa
34,Thoracic Imaging,TractionBronchiectasis/BronchiolectasisonCTScansinRelationshiptoClinicalOutcomesandMortality:TheCOPDGeneStudyctch,"Akinori Hata, Takuya Hino, Rachel K. Putman, Masahiro Yanagawa, Tomoyuki Hida, Aravind A. Menon, Osamu Honda, Yoshitake Yamada, Mizuki Nishino, Tetsuro Araki, Vladimir I. Valtchinov, Masahiro Jinzaki, Hiroshi Honda, Kousei Ishigami, Takeshi Johkoh, Noriyuki Tomiyama, David C. Christiani, David A. Lynch, Raúl San José Estépar, George R. Washko, Michael H. Cho, Edwin K. Silverman, Gary M. Hunninghake, Hiroto Hatabu, for the COPDGene Investigators"
35,Editorial,TractionBronchiectasisandBronchiolectasisatCTPredictsSurvivalinIndividualswithInterstitialLungAbnormalities:TheCOPDGeneStudyctch,"Kyung Soo Lee, Yunjoo Im"
36,Vascular and Interventional Radiology,MicrowaveAblationversusSurgicalResectionforSolitaryT1N0M0PapillaryThyroidCarcinomahnir,"Ying Wei, Wen-quan Niu, Zhen-long Zhao, Jie Wu, Li-li Peng, Yan Li, Ming-an Yu"
37,Editorial,"MicrowaveAblationversusSurgeryforPapillaryThyroidCarcinoma:MoreTherapeuticOptions,MoreControversieshnir","Eric vanSonnenberg, Joseph F. Simeone"
38,Vascular and Interventional Radiology,ImpactofIntraproceduralSedationonAdrenalVeinSamplingwithoutCorticotropinStimulationvair,"Jun Yang, Renata Libianto, Kenneth K. Lau, James C. G. Doery, Ken L. Wan, Nicholas Y. N. Chee, Jimmy Shen, Peter J. Fuller, Winston Chong"
39,Editorial,ThereAreManyShortcutstoPerformingAdrenalVeinSampling:SedationTooComesataCostvair,Christos Georgiades
40,Vascular and Interventional Radiology,MRElastographyofAbdominalAorticAneurysms:RelationshiptoAneurysmEventsvamr,"Huiming Dong, Brian Raterman, Richard D. White, Jean Starr, Patrick Vaccaro, Mounir Haurani, Michael Go, Mariah Eisner, Guy Brock, Arunark Kolipaka"
41,Editorial,AbdominalAorticAneurysm:PredictionofRuptureRiskwithMRElastographyvamr,Hajime Sakuma
42,Case 309,Case309nr,"Paulo Puac-Polanco, Nader Zakhari, Gerard H. Jansen, Carlos Torres"
43,Case 305,Case305:LoefflerEndocarditisca,"Settimo Caruso, Gianluca Marrone, Giovanni Gentile"
44,Letters to the Editor,VaccinationandReducedSeverityofCOVID-19PneumoniaViewedatChestRadiography,"Andrea Borghesi, Roberto Maroldi"
45,Letters to the Editor,CardiacMRIandClinicalFollow-upinCOVID-19Vaccine–associatedMyocarditis,"Matteo Fronza, Paaladinesh Thavendiranathan, Gauri Rani Karur, Husam Abdel-Qadir, Jacob A. Udell, Rachel M. Wald, Kate Hanneman"
46,Letters to the Editor,LimitationsofaMultiparametricUSScoreforNASHPrediction,"Sergio Alfonso Valencia, Javier Andrés Romero"
47,Letters to the Editor,MRIversusCTinDetectingPulmonaryNodules,Arosh S. Perera Molligoda Arachchige
48,Letters to the Editor,FunctionalAnalysisoftheCentralRetinalArteryUsingMRIorUS,"Augustin Lecler, Loïc Duron"
49,Errata,QuantumIterativeReconstructionforAbdominalPhotoncountingDetectorCTImprovesImageQuality,"Thomas Sartoretti, Anna Landsmann, Dominik Nakhostin, Matthias Eberhard, Christian Roeren, Victor Mergen, Kai Higashigaito, Rainer Raupach, Hatem Alkadhi, André Euler"
50,Errata,ValidationofArtificialIntelligenceCardiacMRIMeasurements:RelationshiptoHeartCatheterizationandMortalityPrediction,"Samer Alabed, Faisal Alandejani, Krit Dwivedi, Kavita Karunasaagarar, Michael Sharkey, Pankaj Garg, Patrick J. H. de Koning, Attila Tóth, Yousef Shahin, Christopher Johns, Michail Mamalakis, Sarah Stott, David Capener, Steven Wood, Peter Metherall, Alexander M. K. Rothman, Robin Condliffe, Neil Hamilton, James M. Wild, Declan P. O'Regan, Haiping Lu, David G. Kiely, Rob J. van der Geest, Andrew J. Swift"
51,Errata,AxillaryAdenopathyafterCOVID-19Vaccine:NoReasontoDelayScreeningMammogram,"Stacey Wolfson, Eric Kim, Anastasia Plaunova, Rita Bukhman, Ruth D. Sarmiento, Naziya Samreen, Divya Awal, Monica M. Sheth, Hildegard B. Toth, Linda Moy, Beatriu Reig"
